event_id,event_type,window,car
C-AN202503201645152070,project_investment,"[0,5]",-0.03144210585998486
C-AN202503201645152070,project_investment,"[0,10]",-0.1779291726960395
C-AN202505071668920097,order_contract,"[-1,1]",0.01316687655461257
C-AN202505071668920097,order_contract,"[-3,3]",-0.036446741638219635
C-AN202505071668920097,order_contract,"[0,5]",-0.07650206521965375
C-AN202505071668920097,order_contract,"[0,10]",-0.13368715055138258
C-AN202509301753492208,order_contract,"[-1,1]",0.056823139098135314
C-AN202509301753492208,order_contract,"[-3,3]",0.05324938692446289
C-AN202509301753492208,order_contract,"[0,5]",-0.0018695964567381172
C-AN202509301753492208,order_contract,"[0,10]",-0.04570620655938547
C-AN202512051794542407,project_investment,"[-1,1]",0.02100671919574172
C-AN202512051794542407,project_investment,"[-3,3]",-0.021185474756127677
C-AN202512051794542407,project_investment,"[0,5]",0.06450479969305456
C-AN202512051794542407,project_investment,"[0,10]",0.06827459579088449
C-AN202512081796392620,project_investment,"[-1,1]",0.026757238573079066
C-AN202512081796392620,project_investment,"[-3,3]",0.08730186866072884
C-AN202512081796392620,project_investment,"[0,5]",0.023213486995037544
C-AN202512081796392620,project_investment,"[0,10]",-0.01299321100354648
C-AN202601281818512452,project_investment,"[-1,1]",-0.03346398949893121
C-AN202601281818512452,project_investment,"[-3,3]",-0.018242369724713874
C-AN202601281818512452,project_investment,"[0,5]",0.0035391508636714065
C-AN202601281818512452,project_investment,"[0,10]",0.0195558160107344
C-AN202602261820065672,performance,"[-1,1]",0.13365763230536032
C-AN202602261820065672,performance,"[-3,3]",0.24041434792517496
C-AN202602261820065672,performance,"[0,5]",0.2358538112943923
C-AN202602261820065672,performance,"[0,10]",0.1655227621736434
C-AN202604171821304024,project_investment,"[-1,1]",0.01677065574582945
C-AN202604171821304024,project_investment,"[-3,3]",-0.014713952920229775
C-AN202604171821304024,project_investment,"[0,5]",-0.03851179831639826
C-AN202604171821304024,project_investment,"[0,10]",-0.10045120455188061
