horizon,events,actual_mean_abnormal_return,placebo_mean,placebo_std,placebo_p_value_two_sided
1,28,-0.0004164726808259443,0.00037770023499485416,0.0036610590159485068,0.9090909090909091
5,28,-0.01897988273515957,0.003338731232862815,0.008623982526459238,0.04395604395604396
10,28,-0.018588116234044664,0.0061146899443237845,0.012863889152686516,0.1848151848151848
20,28,0.01548924426103134,0.01401390633304998,0.019587951253520936,0.5254745254745254
