trade_date,ts_code,name,industry_role,tier,event_window_20d,days_since_company_event,relative_strength_probability,volatility_jump_probability,relative_strength_rank,volatility_risk_rank
2026-06-15,600879.SH,航天电子,航天电子与无人系统配套,extended,0,888,0.5953584795029295,0.39040414127970235,1,36
2026-06-15,600893.SH,航发动力,航空发动机,extended,0,999,0.5166483569664615,0.46355813055175427,22,21
2026-06-15,688066.SH,航天宏图,遥感数据与空天信息应用,extended,0,999,0.40791794995149716,0.45052572867909585,57,23
2026-06-15,688070.SH,纵横股份,工业无人机,core,0,105,0.5164122878383145,0.4924052552451427,23,16
2026-06-15,688239.SH,航宇科技,航空发动机环锻件,extended,0,999,0.5331205942884544,0.39115712984831175,16,35
2026-06-15,688282.SH,理工导航,惯性导航系统,extended,0,999,0.5169676753561403,0.6603197142244319,21,2
2026-06-15,688297.SH,中无人机,无人机整机,core,0,71,0.4594354218858854,0.4292233497033632,47,29
2026-06-15,688375.SH,国博电子,有源相控阵与射频芯片,extended,0,999,0.4925843044555976,0.4927774459139618,30,14
2026-06-15,688523.SH,航天环宇,航空航天复合材料与通信产品,extended,0,999,0.560322723895599,0.34161787246581415,8,44
2026-06-15,688568.SH,中科星图,数字地球与遥感应用,extended,0,999,0.5749052311815257,0.622916430415971,5,6
2026-06-15,688586.SH,江航装备,航空机载设备与保障装备,extended,0,999,0.5159546207739,0.26530705295569856,24,53
2026-06-15,688631.SH,莱斯信息,空管系统与低空基础设施,core,0,999,0.4632109493972633,0.49265141660489586,43,15
2026-06-15,688685.SH,迈信林,航空航天精密零部件,extended,0,999,0.5092478636239836,0.30511545838130627,26,48
