trade_date,ts_code,name,industry_role,relative_strength_probability,relative_strength_signal,relative_strength_confidence,volatility_jump_probability,volatility_signal,volatility_confidence,event_window_20d,days_since_company_event
2026-06-15,000099.SZ,中信海直,低空运营与通航服务,0.469357527610842,观望,0.030642472389158015,0.3965532495992406,观望,0.1034467504007594,0,343
2026-06-15,000547.SZ,航天发展,电子信息与空天防务系统,0.490450794427429,观望,0.009549205572570996,0.2777346854306949,低波动风险,0.2222653145693051,0,999
2026-06-15,000738.SZ,航发控制,航空发动机控制系统,0.4630126061257426,观望,0.036987393874257424,0.4257984223749033,观望,0.07420157762509672,0,999
2026-06-15,000801.SZ,四川九洲,空管与通信设备,0.4493983218465054,观望,0.05060167815349459,0.4330476580890673,观望,0.06695234191093269,0,37
2026-06-15,001696.SZ,宗申动力,航空动力与无人机产业链,0.386421690826528,弱势回避,0.113578309173472,0.4324305181682929,观望,0.06756948183170708,0,999
2026-06-15,002023.SZ,海特高新,航空维修与模拟训练,0.4652710711152196,观望,0.03472892888478041,0.2019882699482307,低波动风险,0.2980117300517693,0,999
2026-06-15,002025.SZ,航天电器,航空航天连接器与继电器,0.457059159216981,观望,0.04294084078301902,0.2225864581908678,低波动风险,0.2774135418091322,0,999
2026-06-15,002085.SZ,万丰奥威,通航飞机与零部件,0.4585661841411407,观望,0.0414338158588593,0.4013345148649931,观望,0.09866548513500689,0,297
2026-06-15,002111.SZ,威海广泰,机场地面设备与无人装备,0.5728854279496481,观望,0.07288542794964814,0.5863766811922391,高波动风险,0.08637668119223907,0,999
2026-06-15,002151.SZ,北斗星通,北斗导航与定位,0.521769440852733,观望,0.021769440852733024,0.3445605550610391,低波动风险,0.1554394449389609,0,999
2026-06-15,002179.SZ,中航光电,航空连接器与电子互连,0.4608651048629126,观望,0.0391348951370874,0.4546157772363564,观望,0.04538422276364362,0,999
2026-06-15,002389.SZ,航天彩虹,无人机整机与应用,0.4872335946078919,观望,0.012766405392108104,0.5703352495747019,高波动风险,0.07033524957470194,0,86
2026-06-15,002413.SZ,雷科防务,雷达感知与智能控制,0.5616870876773884,观望,0.0616870876773884,0.4823056871119308,观望,0.01769431288806922,0,999
2026-06-15,002414.SZ,高德红外,红外探测与载荷设备,0.4422560726412596,观望,0.0577439273587404,0.642190992715288,高波动风险,0.142190992715288,0,999
2026-06-15,002465.SZ,海格通信,通信导航与北斗应用,0.4950778542280891,观望,0.004922145771910913,0.1265676345404824,低波动风险,0.37343236545951763,0,999
2026-06-15,002544.SZ,普天科技,通信网络与智慧应用,0.5542669761005449,观望,0.05426697610054487,0.4399337727214609,观望,0.06006622727853911,0,999
2026-06-15,002708.SZ,光洋股份,航空零部件,0.5422054173200136,观望,0.042205417320013594,0.338422621943825,低波动风险,0.161577378056175,0,999
2026-06-15,002829.SZ,星网宇达,惯性导航与无人系统,0.4947865612550823,观望,0.005213438744917698,0.2308765121046156,低波动风险,0.26912348789538443,0,999
2026-06-15,300034.SZ,钢研高纳,航空高温合金与材料,0.4499808422956242,观望,0.050019157704375816,0.3717142870995364,观望,0.1282857129004636,0,999
2026-06-15,300036.SZ,超图软件,地理信息系统与数字底座,0.5174566762502212,观望,0.01745667625022118,0.4847391651911845,观望,0.015260834808815515,0,999
2026-06-15,300045.SZ,华力创通,卫星导航与通信,0.5594055135298751,观望,0.05940551352987511,0.345602346287444,低波动风险,0.15439765371255598,0,999
