event_id,event_date,information_trade_date,event_type,policy_level,window,car_market_adjusted,raw_return,benchmark_return
E-P20241001-01,2024-10-10,2024-10-11,strategic_plan,city,"[-3,3]",0.09372125733374509,0.0515607679573281,-0.042160489376417004
E-P20241001-01,2024-10-10,2024-10-11,strategic_plan,city,"[0,5]",0.09689307057496646,0.0802294699874758,-0.01666360058749069
E-P20241001-01,2024-10-10,2024-10-11,strategic_plan,city,"[0,10]",0.22845626452429257,0.2198218846932101,-0.008634379831082499
E-P20241002-01,2024-07-05,2024-07-08,support_measure,city,"[-1,1]",-0.005671047184263001,-0.007305856806841503,-0.0016348096225785019
E-P20241002-01,2024-07-05,2024-07-08,support_measure,city,"[-3,3]",-0.028422013164567606,-0.029271592674124616,-0.0008495795095570004
E-P20241002-01,2024-07-05,2024-07-08,support_measure,city,"[0,5]",-0.012221131073588503,0.0010336944770736965,0.0132548255506622
E-P20241002-01,2024-07-05,2024-07-08,support_measure,city,"[0,10]",-0.032059563284008205,-0.00766999917011881,0.0243895641138894
E-P20241003-01,2024-01-03,2024-01-04,regulation,city,"[-1,1]",-0.0164743211954146,-0.0334616704121622,-0.016987349216747598
E-P20241003-01,2024-01-03,2024-01-04,regulation,city,"[-3,3]",-0.025551879910473196,-0.0617033837521847,-0.0361515038417115
E-P20241003-01,2024-01-03,2024-01-04,regulation,city,"[0,5]",0.024093034345048107,-0.0004995103886418079,-0.024592544733689898
E-P20241003-01,2024-01-03,2024-01-04,regulation,city,"[0,10]",0.004567577450101317,-0.026034952070643803,-0.030602529520745096
E-P20241101-01,2024-09-22,2024-09-23,strategic_plan,city,"[-1,1]",-0.002821163756404798,0.0457162454835537,0.048537409239958494
E-P20241101-01,2024-09-22,2024-09-23,strategic_plan,city,"[-3,3]",-0.017054591270654396,0.1001742586603321,0.11722884993098648
E-P20241101-01,2024-09-22,2024-09-23,strategic_plan,city,"[0,5]",0.0544126269429658,0.2879519043996863,0.23353927745672048
E-P20241101-01,2024-09-22,2024-09-23,strategic_plan,city,"[0,10]",0.0956745366690566,0.31997567818184847,0.22430114151279187
E-P20241201-01,2024-12-31,2025-01-02,strategic_plan,district,"[-1,1]",-0.0843825961422667,-0.1413641441126722,-0.0569815479704055
E-P20241201-01,2024-12-31,2025-01-02,strategic_plan,district,"[-3,3]",-0.0763699770874361,-0.1248813805164519,-0.0485114034290158
E-P20241201-01,2024-12-31,2025-01-02,strategic_plan,district,"[0,5]",-0.023420572368796407,-0.06308197350775281,-0.0396614011389564
E-P20241201-01,2024-12-31,2025-01-02,strategic_plan,district,"[0,10]",-0.00138275302599071,-0.035190388602135095,-0.0338076355761444
E-P20251201-01,2025-12-22,2025-12-23,industry_standard,central,"[-1,1]",-0.0166187041591951,-0.0022491764475300983,0.014369527711665001
E-P20251201-01,2025-12-22,2025-12-23,industry_standard,central,"[-3,3]",0.018834306977386903,0.0356654763137165,0.0168311693363296
E-P20251201-01,2025-12-22,2025-12-23,industry_standard,central,"[0,5]",0.014034795251452103,0.022621486786859102,0.008586691535406999
E-P20251201-01,2025-12-22,2025-12-23,industry_standard,central,"[0,10]",0.05784480415202449,0.08517457941618331,0.027329775264158807
E-P20260201-01,2026-02-12,2026-02-13,insurance_finance,central,"[-1,1]",0.007538469573285276,0.006336120075305178,-0.0012023494979800983
E-P20260201-01,2026-02-12,2026-02-13,insurance_finance,central,"[-3,3]",0.03773116702197048,0.039538538708241575,0.0018073716862711006
E-P20260201-01,2026-02-12,2026-02-13,insurance_finance,central,"[0,5]",0.07349105671212208,0.07557834517145408,0.002087288459332001
E-P20260201-01,2026-02-12,2026-02-13,insurance_finance,central,"[0,10]",0.07946645499677618,0.057605191351578273,-0.021861263645197894
