trade_date,company_sentiment_impulse,company_risk_impulse,company_attention,company_signed_count,company_confidence_impulse,policy_support_impulse,policy_risk_impulse,policy_attention,policy_signed_count,policy_confidence_impulse,risk_impulse,attention_impulse,confidence_impulse,signed_breadth_impulse,policy_support,policy_support_z,company_sentiment,company_sentiment_z,confidence_balance,confidence_balance_z,signed_breadth,signed_breadth_z,pca_sentiment_index,dynamic_sentiment_filtered,dynamic_sentiment_smoothed,dynamic_factor_se,dynamic_sentiment_change
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004981062175093282,-0.5538602310146742,0.0692046348471834,0.4778835787193871,0.0586322918270298,-0.2324336867250125,0.01053771189953542,-0.4687437634686828,43.59292995123399,44.823837891188774,44.82383789018128,4.473672821235849e-05,-0.05774714221248445
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004923849796329201,-0.5538892485290384,0.06684727092887277,0.4301446593280994,0.056635060723851396,-0.2438138883090337,0.009832032857576545,-0.4777661202406103,43.5583501984084,44.768057828632806,44.768057827629775,4.473672821235849e-05,-0.0557800625559679
2023-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048672945577831676,-0.5539179327488232,0.06457020747967991,0.3840319027844397,0.054705862644032724,-0.25480643844952783,0.00917361102999283,-0.4861842767702342,43.52552356308605,44.71417783977899,44.71417783877989,4.473672821235849e-05,-0.053879988853815064
2023-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048113889115560107,-0.5539462875022434,0.06237070917083762,0.339489916012052,0.05284238013304381,-0.26542454197775905,0.008559281742509263,-0.49403869454029414,43.494351755093184,44.662133201141756,44.66213320014603,4.473672821235849e-05,-0.052044638637234186
2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004756125396443577,-0.5539743165735429,0.06024613384891809,0.2964651928261128,0.051042374677363535,-0.27568095391996267,0.007986092249619796,-0.5013671254490731,43.46474241607592,44.61186139395507,44.611861392962155,4.473672821235849e-05,-0.05027180718668944
2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047014966369409523,-0.5540020237034999,0.05819392936193882,0.25490604965887903,0.04930368401545903,-0.2855879948193558,0.00745128754235167,-0.508204793263162,43.43660874441138,44.56330202907155,44.56330202808087,4.473672821235849e-05,-0.04855936488351631
2023-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004647495342258121,-0.5540294125899261,0.056211630493582965,0.21476256347465916,0.04762421954036308,-0.2951575655362239,0.006952297106441324,-0.5145845629188763,43.409869144482954,44.5163967744199,44.51639677343086,4.473672821235849e-05,-0.046905254651647965
2023-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045941143053469346,-0.5540564868881603,0.05429685600185143,0.17598651179962851,0.04600196379072921,-0.30440116154386215,0.006486722567275638,-0.5205370984860631,43.38444689871404,44.47108928493329,44.47108928394529,4.473672821235849e-05,-0.045307489486610564
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045413464019392513,-0.5540832502115561,0.052447305758589344,0.13853131479444936,0.04443496802735065,-0.3133298867375446,0.0060523261622145086,-0.5260910105535447,43.36026986086079,44.42732513486472,44.42732513387715,4.473672821235849e-05,-0.0437641500685757
2023-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044891845895961286,-0.554109706131964,0.05066075798645071,0.10235197930010975,0.04292134989223197,-0.32195446677310896,0.005647019984887488,-0.5312729937445995,43.33727016916428,44.38505175240793,44.38505175142015,4.473672821235849e-05,-0.04227338245678425
2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004437621906767935,-0.5541358581802086,0.04893506658998225,0.06740504478976699,0.04145929114740137,-0.3302852619511806,0.00526885594976771,-0.5361079550234427,43.315383978055365,44.34421835654539,44.34421835555675,4.473672821235849e-05,-0.04083339586254198
2023-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043866514718652564,-0.5541617098465592,0.04726815857762032,0.03364853116166948,0.04004703549074723,-0.33833227966251184,0.004916016428788273,-0.5406191334094064,43.2945512071921,44.30477589604742,44.30477589505726,4.473672821235849e-05,-0.039442460497973286
2023-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004336266482340474,-0.5541872645811965,0.04565803157150402,0.0010418883104434133,0.03868288644625538,-0.3461051864093884,0.004586805514996415,-0.5448282116742184,43.274715306690666,44.266676990549314,44.26667698955696,4.473672821235849e-05,-0.03809890549810291
2023-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042864602137798925,-0.5542125257946716,0.04410275140211329,-0.030454052583833463,0.03736520532611259,-0.3536133194175415,0.004279640871254631,-0.5487554205592483,43.25582303748622,44.22987587363552,44.22987587264027,4.473672821235849e-05,-0.03680111691379295
2023-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004237226019006296,-0.5542374968583631,0.0426004497848424,-0.06087712610728515,0.03609240926222828,-0.3608656978525163,0.003993046124809898,-0.5524196360136379,43.23782426583068,44.19432833786261,44.19432833686375,4.473672821235849e-05,-0.03554753577291336
2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004188557327191811,-0.5542621811049251,0.04114932207571789,-0.09026387806113878,0.03486296930480988,-0.3678710336539697,0.003725643771175835,-0.5558384699206823,43.220671771000056,44.15999168165496,44.15999168065176,4.473672821235849e-05,-0.034336656207649696
2023-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004140447642980958,-0.5542865818287336,0.03974762510356505,-0.11864960936246918,0.03367540858570763,-0.37463774200091127,0.003476148553220662,-0.5590283547485394,43.20432106534579,44.12682465800939,44.12682465700107,4.473672821235849e-05,-0.033167023645567895
2023-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040928905456237796,-0.554310702286325,0.03839367507601866,-0.14606841844952329,0.03252830054432266,-0.38117395142046123,0.003243361283637819,-0.5620046225321328,43.18873022588134,44.09478742494704,44.094787423932836,4.473672821235849e-05,-0.03203723306234707
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040458796881189213,-0.5543345456968314,0.037085845556862805,-0.17255324224256358,0.031420267213947084,-0.38748751355226524,0.0030261630811072543,-0.5647815785658736,43.173859736649334,44.063841497653144,44.06384149663224,4.473672821235849e-05,-0.030945927293899445
2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039994087963665567,-0.55435811524241,0.03582256551226985,-0.19813589570943432,0.030349977566477733,-0.393586012580299,0.002823509992443744,-0.567372570161401,43.15967234116409,44.03394970224698,44.03394970121855,4.473672821235849e-05,-0.029891795406165045
2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039534716683310424,-0.5543814140686678,0.034602317423591725,-0.22284711008337985,0.029316145913514922,-0.3994767743433896,0.002634427974883855,-0.5697900508008226,43.14613290427133,44.005076131126685,44.005076130089876,4.473672821235849e-05,-0.028873571120293207
2023-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039080621732131903,-0.5544044452850815,0.03342363546443641,-0.2467165697790237,0.02831753036192572,-0.4051668751354002,0.0024580082143941364,-0.5720456399938044,43.133208282810195,43.97718609983513,43.977186098789055,4.473672821235849e-05,-0.027890031291555317
2023-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003863174250632047,-0.5544272119654121,0.03228510373983998,-0.26977294805085356,0.027352931322016383,-0.41066315020564725,0.0022934027574982073,-0.5741501791262104,43.1208672045033,43.950246105395124,43.95024610433887,4.473672821235849e-05,-0.026939994440006387
2023-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003818801909816072,-0.5544497171481159,0.031185354585418837,-0.2920439414370474,0.026421190066521928,-0.41597220196976287,0.0021398204356273156,-0.5761137835687254,43.10908015453874,43.92422378606388,43.9242237849965,4.473672821235849e-05,-0.02602231933124699
2023-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003774939228803603,-0.5544719638367491,0.030123066924459072,-0.313556303030017,0.025521187338681788,-0.4211004079408646,0.001996523062404949,-0.5779458912959201,43.09781926934305,43.89908788245835,43.89908788137886,4.473672821235849e-05,-0.025135903605523424
2023-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003731580353652511,-0.5544939550003696,0.029096964680969437,-0.3343358746136339,0.024651842007729536,-0.4260539283905612,0.0018628218855879174,-0.5796553082494424,43.08705823707741,43.87480820000485,43.874808198912234,4.473672821235849e-05,-0.024279682453503426
2023-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036887194976589256,-0.5545156935739322,0.02810581524679151,-0.3544076177057438,0.023812109770181562,-0.4308387137489953,0.001738074276610331,-0.581250250663371,43.076772204420166,43.85135557266771,43.851355571560916,4.473672821235849e-05,-0.02345262733714293
2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000364635094058494,-0.5545371824586813,0.027148428000925744,-0.37379564354325917,0.023000981895364626,-0.4354605117528144,0.0016216806418189096,-0.5827383845551677,43.06693768922746,43.82870182791349,43.828701826791445,4.473672821235849e-05,-0.022653744754215666
2023-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003604469027895183,-0.5545584245225376,0.0262236528792947,-0.3925232420458487,0.022217484013675345,-0.4399248743496556,0.0015130815405536271,-0.584126862572038,43.05753249869083,43.806819752868705,43.80681975173026,4.473672821235849e-05,-0.02188207504478612
2023-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003563068170002163,-0.5545794226004808,0.02533037899322538,-0.4106129097930185,0.021460674946116007,-0.4442371643674378,0.001411754996221872,-0.5854223583698017,43.048535652635586,43.78568306163021,43.78568306047418,4.473672821235849e-05,-0.02113669123849604
2023-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003522142841520275,-0.554600179494928,0.024467533294991153,-0.4280863770481899,0.020729645573700706,-0.4484025619564736,0.0013172139874419275,-0.5866310986895126,43.03992731162735,43.76526636368921,43.76526636251438,4.473672821235849e-05,-0.02041669794100187
2023-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034816875805283805,-0.5546206979761081,0.023634079288810186,-0.44496463386223867,0.020023517745373635,-0.4524260708121392,0.0012290041071970682,-0.5877588932860035,43.031688709575874,43.74554513343086,43.74554513223596,4.473672821235849e-05,-0.019721230258348044
2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034416969878408573,-0.554640980782431,0.022829015785752037,-0.4612679552878517,0.01934144322312771,-0.4563125241855775,0.0011467013787491037,-0.5888111628522065,43.023802090545814,43.7264956806728,43.72649567945652,4.473672821235849e-05,-0.019049452758061136
2023-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034021657262870184,-0.5546610306208534,0.022051375701056673,-0.47701592573499013,0.018682602663056314,-0.46006659068965405,0.0010699102178136578,-0.589792965073464,43.01625064950315,43.70809512220724,43.708095120968196,4.473672821235849e-05,-0.018400558465557992
2023-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033630885199988113,-0.5546808501672396,0.021300224892421227,-0.492227462496716,0.01804620463111416,-0.46369277990714153,0.0009982615312024744,-0.5907090189370614,43.00901847674385,43.69032135431246,43.69032135304921,4.473672821235849e-05,-0.01777376789478069
2023-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033244601537066966,-0.5547004420667194,0.020574661037858974,-0.5069208384736428,0.01743148465240496,-0.46719544780786815,0.0009314109427939587,-0.5915637274138223,43.002090505767775,43.67315302620064,43.67315302491169,4.473672821235849e-05,-0.017168328111822007
2023-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032862754720436137,-0.5547198089340405,0.01987381255178255,-0.521113704124308,0.016837704292853837,-0.470578801981339,0.0008690371383051655,-0.5923611986207867,42.995452464376655,43.65656951437016,43.65656951305396,4.473672821235849e-05,-0.016583511830475572
2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032485293788569444,-0.5547389533539178,0.019196837538009357,-0.534823108667835,0.016264150272161347,-0.4738469066911139,0.0008108403209094548,-0.5931052655666851,42.98909082878923,43.6405508978316,43.64055089648653,4.473672821235849e-05,-0.016018616538559627
2023-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032112168365283747,-0.554757877881378,0.01854292277843143,-0.5480655205643552,0.01571013360697356,-0.47700368775701596,0.0007565407702768136,-0.5937995045751202,42.98299278058034,43.625077934177554,43.625077932801915,4.473672821235849e-05,-0.015472963654048044
2023-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031743328653015723,-0.554776585042101,0.017911282756134954,-0.5608568472977906,0.015174988783238884,-0.48005293727103276,0.000705877498110936,-0.5944472524740021,42.97714616626326,43.610132036467654,43.610132035059685,4.473672821235849e-05,-0.01494589770990018
2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031378725426175856,-0.5547950773327567,0.017301158711795887,-0.5732124544847634,0.014658072956757476,-0.48299831815257815,0.0006586069937209638,-0.5950516226338575,42.97153945934653,43.59569525090097,43.59569524945882,4.473672821235849e-05,-0.01443678556668715
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031018310024578743,-0.5548133572213382,0.01671181773221823,-0.5851471843325853,0.014158765180962873,-0.4858433685485834,0.0006145020535985341,-0.595615519932103,42.96616172470741,43.581750235248904,43.58175023377066,4.473672821235849e-05,-0.013945015652062409
2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030662034346948876,-0.5548314271474916,0.016142551869920016,-0.5966753734685003,0.013676465661008205,-0.48859150608370694,0.0005733506893745518,-0.5961416547152045,42.96100258513454,43.56828023802288,43.56828023650652,4.473672821235849e-05,-0.013469997226025043
