company_half_life,policy_half_life,correlation_with_dynamic_index,q50_coefficient,q50_p_value,q90_coefficient,q90_p_value
10,30,0.9044018319188732,-0.007507183408837445,6.123818050480988e-07,0.0060322274590630005,0.004874028360048932
10,60,0.8833012973304201,-0.007666057328621266,2.9363160628823427e-07,0.006212186079046355,0.0035127142312171016
20,30,0.9232276106906632,-0.00880807500797427,1.0072804480159556e-08,0.007025494376788876,0.002947218910951543
20,60,0.8969960411084573,-0.009289669311831896,1.1162539072509783e-09,0.0067886277658322555,0.0027463004403108456
20,90,0.8564315374793502,-0.00856694704853388,1.1751344604493149e-08,0.006490780965578192,0.002847879432116667
40,60,0.09773844036137498,-0.001447628141674701,0.3314616588105034,0.0022203262330312778,0.22374168102364583
40,90,0.07696392261567801,-0.0010441914541263649,0.4825522632332726,0.0022219971691378295,0.22440070162332307
